region_id,case_id,optimization,source_type,input_count,output_count,structural_coverage,simulation_coverage,boolean_difference_coverage,formal_dependency_coverage,dependency_density,row_density_mean,column_density_mean,lower_triangularity,upper_triangularity,diagonal_concentration,bandwidth,minimum_dependency_slope,maximum_dependency_slope,carry_progression_score,multiplier_diagonal_score,operand_symmetry_score,output_prefix_dependency_score,selectivity_change_score,single_output_control_score,high_bit_priority_score,locality_score,regularity_score,simulation_evidence_level,boolean_difference_evidence_level,pattern_count,seed,runtime_seconds,schema_version
arithmetic_constant_multiply_w2__identity__whole_output_cone,arithmetic_constant_multiply_w2,identity,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.875000,0.625000,0.500000,0.333333,0.000000,3.000000,0.729167,0.500000,1.000000,0.875000,0.000000,0.000000,1.000000,0.666667,1.000000,sampled_estimate,formal_exhaustive,128,41,0.000523,semantic_dependency_v1
arithmetic_constant_multiply_w2__refactor__whole_output_cone,arithmetic_constant_multiply_w2,refactor,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,0.875000,0.875000,0.875000,1.000000,0.571429,0.571429,0.333333,1.000000,3.000000,0.833333,0.375000,0.750000,1.000000,0.500000,0.000000,1.000000,0.666667,0.500000,sampled_estimate,formal_exhaustive,128,41,0.000533,semantic_dependency_v1
arithmetic_constant_multiply_w2__resub__whole_output_cone,arithmetic_constant_multiply_w2,resub,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,0.875000,0.875000,0.875000,1.000000,0.571429,0.571429,0.333333,1.000000,3.000000,0.833333,0.375000,0.750000,1.000000,0.500000,0.000000,1.000000,0.666667,0.500000,sampled_estimate,formal_exhaustive,128,41,0.000526,semantic_dependency_v1
arithmetic_constant_multiply_w2__resyn__whole_output_cone,arithmetic_constant_multiply_w2,resyn,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.875000,0.625000,0.500000,0.333333,0.000000,3.000000,0.729167,0.500000,1.000000,0.875000,0.000000,0.000000,1.000000,0.666667,1.000000,sampled_estimate,formal_exhaustive,128,41,0.000533,semantic_dependency_v1
arithmetic_constant_multiply_w2__resyn2__whole_output_cone,arithmetic_constant_multiply_w2,resyn2,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,0.875000,0.875000,0.875000,1.000000,0.571429,0.571429,0.333333,1.000000,3.000000,0.833333,0.375000,0.750000,1.000000,0.500000,0.000000,1.000000,0.666667,0.500000,sampled_estimate,formal_exhaustive,128,41,0.000548,semantic_dependency_v1
arithmetic_constant_multiply_w2__rewrite__whole_output_cone,arithmetic_constant_multiply_w2,rewrite,whole_output_cone,2,4,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.875000,0.625000,0.500000,0.333333,0.000000,3.000000,0.729167,0.500000,1.000000,0.875000,0.000000,0.000000,1.000000,0.666667,1.000000,sampled_estimate,formal_exhaustive,128,41,0.000532,semantic_dependency_v1
arithmetic_constant_multiply_w3__balance__whole_output_cone,arithmetic_constant_multiply_w3,balance,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001983,semantic_dependency_v1
arithmetic_constant_multiply_w3__compress2rs__whole_output_cone,arithmetic_constant_multiply_w3,compress2rs,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001671,semantic_dependency_v1
arithmetic_constant_multiply_w3__dc2__whole_output_cone,arithmetic_constant_multiply_w3,dc2,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001521,semantic_dependency_v1
arithmetic_constant_multiply_w3__identity__ground_truth_region,arithmetic_constant_multiply_w3,identity,ground_truth_region,3,5,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.800000,0.533333,0.333333,0.500000,0.000000,4.000000,0.600000,0.666667,1.000000,0.800000,0.000000,0.000000,1.000000,0.500000,1.000000,sampled_estimate,formal_exhaustive,128,41,0.001357,semantic_dependency_v1
arithmetic_constant_multiply_w3__identity__whole_output_cone,arithmetic_constant_multiply_w3,identity,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.800000,0.533333,0.333333,0.500000,0.000000,4.000000,0.600000,0.666667,1.000000,0.800000,0.000000,0.000000,1.000000,0.500000,1.000000,sampled_estimate,formal_exhaustive,128,41,0.001348,semantic_dependency_v1
arithmetic_constant_multiply_w3__refactor__whole_output_cone,arithmetic_constant_multiply_w3,refactor,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001668,semantic_dependency_v1
arithmetic_constant_multiply_w3__resub__whole_output_cone,arithmetic_constant_multiply_w3,resub,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001842,semantic_dependency_v1
arithmetic_constant_multiply_w3__resyn__whole_output_cone,arithmetic_constant_multiply_w3,resyn,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001940,semantic_dependency_v1
arithmetic_constant_multiply_w3__resyn2__whole_output_cone,arithmetic_constant_multiply_w3,resyn2,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001654,semantic_dependency_v1
arithmetic_constant_multiply_w3__rewrite__whole_output_cone,arithmetic_constant_multiply_w3,rewrite,whole_output_cone,3,5,1.000000,1.000000,1.000000,0.000000,0.733333,0.733333,0.733333,1.000000,0.454545,0.454545,0.500000,1.000000,4.000000,0.750000,0.400000,0.866667,1.000000,0.666667,0.000000,0.888889,0.500000,0.333333,sampled_estimate,formal_exhaustive,128,41,0.001930,semantic_dependency_v1
arithmetic_constant_multiply_w4__balance__whole_output_cone,arithmetic_constant_multiply_w4,balance,whole_output_cone,4,6,1.000000,1.000000,1.000000,0.000000,0.750000,0.750000,0.750000,1.000000,0.333333,0.333333,0.600000,1.000000,5.000000,0.700000,0.500000,0.666667,1.000000,0.750000,0.000000,1.000000,0.400000,0.250000,sampled_estimate,formal_exhaustive,128,41,0.006154,semantic_dependency_v1
arithmetic_constant_multiply_w4__compress2rs__whole_output_cone,arithmetic_constant_multiply_w4,compress2rs,whole_output_cone,4,6,1.000000,1.000000,1.000000,0.000000,0.750000,0.750000,0.750000,1.000000,0.333333,0.333333,0.600000,1.000000,5.000000,0.700000,0.500000,0.666667,1.000000,0.750000,0.000000,1.000000,0.400000,0.250000,sampled_estimate,formal_exhaustive,128,41,0.003776,semantic_dependency_v1
arithmetic_constant_multiply_w4__dc2__whole_output_cone,arithmetic_constant_multiply_w4,dc2,whole_output_cone,4,6,1.000000,1.000000,1.000000,0.000000,0.750000,0.750000,0.750000,1.000000,0.333333,0.333333,0.600000,1.000000,5.000000,0.700000,0.500000,0.666667,1.000000,0.750000,0.000000,1.000000,0.400000,0.250000,sampled_estimate,formal_exhaustive,128,41,0.003302,semantic_dependency_v1
arithmetic_constant_multiply_w4__identity__ground_truth_region,arithmetic_constant_multiply_w4,identity,ground_truth_region,4,6,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.750000,0.500000,0.250000,0.600000,0.000000,5.000000,0.525000,0.750000,1.000000,0.750000,0.000000,0.000000,1.000000,0.400000,1.000000,sampled_estimate,formal_exhaustive,128,41,0.003922,semantic_dependency_v1
