benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count
generated_adder_4,balance,new_n42,3,new_n30,0.725,0.5,1.0,1.0,1,1,907a44cc1e67d175,c24c80cf98124e46,2,2,2,2
generated_adder_4,balance,new_n42,4,new_n31,0.725,0.5,1.0,1.0,1,1,907a44cc1e67d175,3a2b9632c1bf022c,2,2,2,2
generated_adder_4,balance,new_n42,5,new_n37,0.5267857142857143,0.75,0.2857142857142857,0.14285714285714285,1,7,907a44cc1e67d175,fc3ae64897cda2dd,2,7,2,2
generated_adder_4,balance,new_n43,1,new_n43,1.0,1.0,1.0,1.0,7,7,393e67c0209b96d7,393e67c0209b96d7,7,7,2,2
generated_adder_4,balance,new_n43,2,new_n36,0.725,0.5,1.0,1.0,7,7,393e67c0209b96d7,9765d48dd9ca3fa0,7,7,2,2
generated_adder_4,balance,new_n43,3,new_n37,0.725,0.5,1.0,1.0,7,7,393e67c0209b96d7,fc3ae64897cda2dd,7,7,2,2
generated_adder_4,balance,new_n43,4,new_n46,0.7180555555555556,0.75,0.7777777777777778,0.3333333333333333,7,9,393e67c0209b96d7,cfd18bfa9d5f5272,7,9,2,2
generated_adder_4,balance,new_n43,5,new_n49,0.7180555555555556,0.75,0.7777777777777778,0.3333333333333333,7,9,393e67c0209b96d7,92371b78397fd8f6,7,9,2,2
generated_adder_4,balance,new_n44,1,new_n44,1.0,1.0,1.0,1.0,8,8,2dfcd5b8c807055f,2dfcd5b8c807055f,7,7,2,2
generated_adder_4,balance,new_n44,2,new_n36,0.8125,0.75,1.0,0.5,8,7,2dfcd5b8c807055f,9765d48dd9ca3fa0,7,7,2,2
generated_adder_4,balance,new_n44,3,new_n45,0.7347222222222223,0.75,0.7777777777777778,0.5,8,9,2dfcd5b8c807055f,66d5aace10a95352,7,9,2,2
generated_adder_4,balance,new_n44,4,new_n35,0.6958333333333334,0.75,0.7142857142857143,0.3333333333333333,8,6,2dfcd5b8c807055f,17bcb4dd2a9e6776,7,5,2,2
generated_adder_4,balance,new_n44,5,new_n37,0.675,0.5,1.0,0.5,8,7,2dfcd5b8c807055f,fc3ae64897cda2dd,7,7,2,2
