benchmark,optimization,optimized_node,original_candidate,sat_status,union_support_size,exact_distance,sample_size,seed,sampled_distance,absolute_error,exact_rank,sampled_rank,absolute_rank_delta
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,128,4,0.3203125,0.0703125,18.5,22.5,4.0
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,512,0,0.23828125,0.01171875,18.5,17.0,1.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,512,1,0.240234375,0.009765625,18.5,19.0,0.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,512,2,0.22265625,0.02734375,18.5,15.0,3.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,512,3,0.275390625,0.025390625,18.5,21.5,3.0
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,512,4,0.2421875,0.0078125,18.5,18.0,0.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,1024,0,0.2421875,0.0078125,18.5,16.0,2.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,1024,1,0.2529296875,0.0029296875,18.5,20.0,1.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,1024,2,0.2646484375,0.0146484375,18.5,21.0,2.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,1024,3,0.2451171875,0.0048828125,18.5,17.5,1.0
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,1024,4,0.2421875,0.0078125,18.5,18.5,0.0
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,4096,0,0.251220703125,0.001220703125,18.5,18.5,0.0
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,4096,1,0.255859375,0.005859375,18.5,21.0,2.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,4096,2,0.248046875,0.001953125,18.5,19.0,0.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,4096,3,0.24072265625,0.00927734375,18.5,17.0,1.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,4096,4,0.260009765625,0.010009765625,18.5,22.0,3.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,8192,0,0.2530517578125,0.0030517578125,18.5,21.0,2.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,8192,1,0.249267578125,0.000732421875,18.5,16.0,2.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,8192,2,0.2525634765625,0.0025634765625,18.5,22.0,3.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,8192,3,0.2596435546875,0.0096435546875,18.5,22.0,3.5
external_iscas85_c2670,refactor_z,new_n719,new_n796,verified,12,0.25,8192,4,0.2469482421875,0.0030517578125,18.5,17.0,1.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,128,0,0.21875,0.03125,18.5,16.0,2.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,128,1,0.3046875,0.0546875,18.5,22.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,128,2,0.25,0.0,18.5,18.5,0.0
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,128,3,0.2421875,0.0078125,18.5,16.0,2.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,128,4,0.2578125,0.0078125,18.5,17.0,1.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,512,0,0.251953125,0.001953125,18.5,18.0,0.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,512,1,0.2578125,0.0078125,18.5,21.0,2.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,512,2,0.265625,0.015625,18.5,21.0,2.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,512,3,0.271484375,0.021484375,18.5,20.0,1.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,512,4,0.240234375,0.009765625,18.5,17.0,1.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,1024,0,0.228515625,0.021484375,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,1024,1,0.228515625,0.021484375,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,1024,2,0.2373046875,0.0126953125,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,1024,3,0.244140625,0.005859375,18.5,16.0,2.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,1024,4,0.23046875,0.01953125,18.5,15.0,3.5
