mode,candidate_id,region_id,case_id,operator,width,iteration,examples_before,examples_after,template_family,candidate_expression,synthesis_result,verification_result,counterexample_assignment,counterexample_reproduced,synthesis_runtime,verification_runtime,cumulative_runtime,termination_reason,proof_backend,proof_scope,evidence_level,schema_version
blind,,arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,affine,6,2,2,2,,,unsat,not_run,{},false,0.006601,0.000000,0.003000,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w3__rewrite__whole_output_cone__blind_cegis__0004,arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,affine,6,1,1,2,affine_unary,"add<6,unsigned>(6'd1,mul<6,unsigned>(6'd1,input1))",sat,sat,"{""input1"":6}",true,0.000521,0.002467,0.002988,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,affine,6,2,2,2,,,unsat,not_run,{},false,0.007603,0.000000,0.002988,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__balance__whole_output_cone__blind_cegis__0004,arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd1,mul<7,unsigned>(7'd1,input1))",sat,sat,"{""input1"":15}",true,0.000787,0.003943,0.004730,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.012360,0.000000,0.004730,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__compress2rs__whole_output_cone__blind_cegis__0012,arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd5,mul<7,unsigned>(7'd5,input1))",sat,sat,"{""input1"":1}",true,0.001723,0.003292,0.005015,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.009234,0.000000,0.005015,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__dc2__whole_output_cone__blind_cegis__0004,arithmetic_affine_w4__dc2__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd1,mul<7,unsigned>(7'd1,input1))",sat,sat,"{""input1"":15}",true,0.001509,0.003034,0.004543,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__dc2__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.009149,0.000000,0.004543,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__identity__ground_truth_region__blind_cegis__0012,arithmetic_affine_w4__identity__ground_truth_region,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd5,mul<7,unsigned>(7'd5,input1))",sat,sat,"{""input1"":2}",true,0.001825,0.006658,0.008483,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__identity__ground_truth_region,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.008452,0.000000,0.008483,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__identity__whole_output_cone__blind_cegis__0012,arithmetic_affine_w4__identity__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd5,mul<7,unsigned>(7'd5,input1))",sat,sat,"{""input1"":7}",true,0.001805,0.006272,0.008077,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__identity__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.008639,0.000000,0.008077,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__refactor__whole_output_cone__blind_cegis__0004,arithmetic_affine_w4__refactor__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd1,mul<7,unsigned>(7'd1,input1))",sat,sat,"{""input1"":6}",true,0.001508,0.003201,0.004709,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__refactor__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.009756,0.000000,0.004709,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__resub__whole_output_cone__blind_cegis__0004,arithmetic_affine_w4__resub__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd1,mul<7,unsigned>(7'd1,input1))",sat,sat,"{""input1"":12}",true,0.000864,0.003625,0.004489,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__resub__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.010609,0.000000,0.004489,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__resyn__whole_output_cone__blind_cegis__0004,arithmetic_affine_w4__resyn__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd1,mul<7,unsigned>(7'd1,input1))",sat,sat,"{""input1"":1}",true,0.001531,0.003716,0.005247,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__resyn__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.010111,0.000000,0.005247,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__resyn2__whole_output_cone__blind_cegis__0012,arithmetic_affine_w4__resyn2__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd5,mul<7,unsigned>(7'd5,input1))",sat,sat,"{""input1"":4}",true,0.001859,0.003663,0.005522,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__resyn2__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.009260,0.000000,0.005522,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
blind,arithmetic_affine_w4__rewrite__whole_output_cone__blind_cegis__0004,arithmetic_affine_w4__rewrite__whole_output_cone,arithmetic_affine_w4,affine,7,1,1,2,affine_unary,"add<7,unsigned>(7'd1,mul<7,unsigned>(7'd1,input1))",sat,sat,"{""input1"":7}",true,0.000756,0.003456,0.004212,counterexample_added,z3,region,formal_smt,z3_cegis_iteration_v1
blind,,arithmetic_affine_w4__rewrite__whole_output_cone,arithmetic_affine_w4,affine,7,2,2,2,,,unsat,not_run,{},false,0.009836,0.000000,0.004212,no_candidate_satisfies_examples,z3,region,unresolved,z3_cegis_iteration_v1
