result_id,boundary_id,trajectory_id,checkpoint_id,oracle_mode,formal_status,solver_result,counterexample_available,counterexample_reproduced,runtime_s,timeout,schema_version
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,oracle_window,decomposable,unsat,false,true,0.000544,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp000_source__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,oracle_divisor,decomposable,unsat,false,true,0.001370,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp000_source__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,oracle_divisor_support,decomposable,unsat,false,true,0.001363,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp000_source__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,oracle_window,decomposable,unsat,false,true,0.001358,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,oracle_divisor,decomposable,unsat,false,true,0.000830,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp001_strash_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,oracle_divisor_support,decomposable,unsat,false,true,0.000823,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp001_strash_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,oracle_window,decomposable,unsat,false,true,0.000824,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,oracle_divisor,decomposable,unsat,false,true,0.001172,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,oracle_divisor_support,decomposable,unsat,false,true,0.001169,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,oracle_window,decomposable,unsat,false,true,0.001160,false,semantic_recoverability_frontier_v1
